headers;"Код заказа";Тип;"Диаметр, мм";Форма;Материал;"Монтажная резьба";"Подвод вакуума";"Ход компенсатора высоты, мм";"Защита от проворота";"Компенсатор угла, градусы";price;stock
SZPR40BSK20-06-A14;SZPR;40;"Сильфонная 1,5 гофры";Силикон;M14x1;"Цанговый фитинг 6 мм";20;да;-;4677.06;"10 шт"
SZPR50BNJ20-08-A14;SZPR;50;"Сильфонная 1,5 гофры";NBR;M14x1;"Цанговый фитинг 8 мм";20;-;-;4055.70;"0 шт"
SZPT13CSK10-B5-A10;SZPT;13;"Плоская с рёбрами жёсткости";Силикон;M10x1;"М5 внутренняя";10;да;-;2177.37;"0 шт"
SZPR50BSK20-06-A14;SZPR;50;"Сильфонная 1,5 гофры";Силикон;M14x1;"Цанговый фитинг 6 мм";20;да;-;4677.06;"0 шт"
SZPR40BN-06-B6;SZPR;40;"Сильфонная 1,5 гофры";NBR;"М6х1 внутренняя";"Цанговый фитинг 6 мм";-;-;-;1572.83;"0 шт"
SZPR40CN-06-B6;SZPR;40;"Плоская с рёбрами жёсткости";NBR;"М6х1 внутренняя";"Цанговый фитинг 6 мм";-;-;-;1531.41;"0 шт"
SZPT80HNJ25-B01-A18;SZPT;80;Плоская;NBR;M18x1,5;R1/8;25;-;-;5795.52;"0 шт"
SZPT40BSJ50-B5-A14;SZPT;40;"Сильфонная 1,5 гофры";Силикон;M14x1;"М5 внутренняя";50;-;-;4635.64;"0 шт"
SZPT20BSK10-06-A10;SZPT;20;"Сильфонная 1,5 гофры";Силикон;M10x1;"Цанговый фитинг 6 мм";10;да;-;2384.49;"0 шт"
SZPR32BS-06-B6;SZPR;32;"Сильфонная 1,5 гофры";Силикон;"М6х1 внутренняя";"Цанговый фитинг 6 мм";-;-;-;1365.71;"0 шт"
SZPT50BSK30-08-A14;SZPT;50;"Сильфонная 1,5 гофры";Силикон;M14x1;"Цанговый фитинг 8 мм";30;да;-;4552.79;"0 шт"
SZPT50BNK50-B01-A14;SZPT;50;"Сильфонная 1,5 гофры";NBR;M14x1;R1/8;50;да;-;5257.01;"0 шт"
SZPT08UNJ25-04-A8;SZPT;8;Плоская;NBR;M8x1;"Цанговый фитинг 4 мм";25;-;-;2405.20;"0 шт"
SZPT06UNJ25-04-A8;SZPT;6;Плоская;NBR;M8x1;"Цанговый фитинг 4 мм";25;-;-;2405.20;"0 шт"
