headers;"Код заказа";"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";price;stock
VSS-10S1G;G3/8;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";520.39;"123 шт"
AAS-15G;G1/2;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";987.06;"10 шт"
AAS-10G;G3/8;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";749.52;"72 шт"
AAS-08G;G1/4;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";390.94;"239 шт"
AAS-06G;G1/8;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";259.55;"261 шт"
VSS-06S1G;G1/8;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";253.08;"66 шт"
AAS-25G;G1;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";3702.30;"0 шт"
AAS-20G;G3/4;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";2207.14;"0 шт"
AAS-M5;M5;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";214.24;"0 шт"
VSS-08S1G;G1/4;"Сжатый воздух";"0 … 1.0";"-40 ... 80";"Нержавеющая сталь";357.28;"0 шт"
