headers;"Код заказа";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Защита от проворота";"Опрос положения";"Исполнение штока";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
SFM20x80-S;"Двустороннего действия";20;80;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4688.72;"31 шт"
SFM20x40-S;"Двустороннего действия";20;40;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4192.92;"1 шт"
SFM40x25-S;"Двустороннего действия";40;25;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;686;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5664.78;"4 шт"
SFM25x20-S;"Двустороннего действия";25;20;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";295;247;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4350.85;"8 шт"
SQN40x40-S;"Двустороннего действия";40;40;да;"Внутренняя резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;633;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";3117.18;"0 шт"
SQN32x10-S;"Двустороннего действия";32;10;да;"Внутренняя резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;414;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";2078.98;"5 шт"
SQN20x50-S-M;"Двустороннего действия";20;50;да;"Наружная резьба";М8;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;158;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";2275.75;"12 шт"
SQN20x40-S-M;"Двустороннего действия";20;40;да;"Наружная резьба";М8;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;158;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";2123;"2 шт"
headers;"Код заказа";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Опрос положения";"Исполнение штока";"Резьба на штоке";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
SQNSB32x5-S;"Одностороннего действия";32;5;да;"Внутренняя резьба";М8;"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.2...1 Мпа";"-20...+80 (без замерзания)";441;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";2275.75;"5 шт"
headers;"Код заказа";Функция;"Диаметр поршня, мм";"Рабочий ход, мм";"Защита от проворота";"Опрос положения";"Исполнение штока";Демпфирование;"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Развиваемое усилие при выдвижении штока при 0,6 МПа, N";"Развиваемое усилие при втягивании штока при 0,6 МПа, N";"Материал крышек";"Материал корпуса";"Материал штока";"Материал уплотнений";price;stock
SFM20x30-S;"Двустороннего действия";20;30;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4071.23;"0 шт"
SFM20x60-S;"Двустороннего действия";20;60;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4442.76;"0 шт"
SFM32x50-S;"Двустороннего действия";32;50;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5497.78;"0 шт"
SFM20x10-S;"Двустороннего действия";20;10;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";3851.17;"0 шт"
SFM20x5-S;"Двустороннего действия";20;5;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";3791.62;"0 шт"
SFM32x5-S;"Двустороннего действия";32;5;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";4784.51;"0 шт"
SFM40x10-S;"Двустороннего действия";40;10;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;686;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5403.28;"0 шт"
SFM40x60-S;"Двустороннего действия";40;60;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;686;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6229.18;"0 шт"
SQN16X50-S;"Двустороннего действия";16;50;да;"Внутренняя резьба";М4;"Упругие демпфирующие кольца";М5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";121;104;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";2251.15;"0 шт"
SFM20x25-S;"Двустороннего действия";20;25;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4038.87;"0 шт"
SFM40x50-S;"Двустороннего действия";40;50;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;686;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";6066.07;"0 шт"
SFM32x10-S;"Двустороннего действия";32;10;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";4844.06;"0 шт"
SFM20x100-S;"Двустороннего действия";20;100;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4939.85;"0 шт"
SFM32x80-S;"Двустороннего действия";32;80;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5994.88;"0 шт"
SFM25x80-S;"Двустороннего действия";25;80;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";295;247;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";5188.40;"0 шт"
SFM25x30-S;"Двустороннего действия";25;30;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";295;247;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4472.53;"0 шт"
SFM25x50-S;"Двустороннего действия";25;50;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";295;247;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4784.51;"0 шт"
SFM20x50-S;"Двустороннего действия";20;50;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4317.19;"0 шт"
SFM32x40-S;"Двустороннего действия";32;40;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5343.74;"0 шт"
SFM32x15-S;"Двустороннего действия";32;15;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";4939.85;"0 шт"
SFM40x20-S;"Двустороннего действия";40;20;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;686;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5572.87;"0 шт"
SFM40x5-S;"Двустороннего действия";40;5;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";754;686;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5334.68;"0 шт"
SFM25x25-S;"Двустороннего действия";25;25;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";295;247;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";4410.40;"0 шт"
SFM32x20-S;"Двустороннего действия";32;20;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5001.99;"0 шт"
SFM32x60-S;"Двустороннего действия";32;60;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";G1/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";483;415;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";5653.13;"0 шт"
SFM20x20-S;"Двустороннего действия";20;20;да;да;"Антиповоротная платформа";"Упругие демпфирующие кольца";M5;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";188;141;Алюминий;Алюминий;"Нержавеющая сталь";"TPU, NBR";3975.44;"0 шт"
SQN80x35-S;"Двустороннего действия";80;35;да;"Внутренняя резьба";М16;"Упругие демпфирующие кольца";G3/8;"Сжатый воздух (степень фильтрации 40 мкм)";"0.1...1 Мпа";"-20...+80 (без замерзания)";3016;2722;Алюминий;Алюминий;"Сталь S45c с твёрдым хромированием";"TPU, NBR";7579.36;"0 шт"
