headers;"Код заказа";"Тип прибора";Исполнение;"Коррозионная защита";price;stock
SMT-FU100-X8C;"FU100 с внешним вторичным прибором";"Датчики накладного исполнения";-;349517.70;"0 шт"
headers;"Код заказа";"Тип прибора";Исполнение;"Внешний диаметр трубопровода, мм";"Коррозионная защита";price;stock
SMT-FU100-X5-32;"FU100 компактный дизайн";"Расширенная версия с датчиком температуры, компактный корпус";32;-;111845.66;"0 шт"
SMT-FU100-8F-150;"FU100 с внешним вторичным прибором";"Датчик фланцевого исполнения";150;-;512625.96;"0 шт"
SMT-FU100-8F-50;"FU100 с внешним вторичным прибором";"Датчик фланцевого исполнения";50;-;482334.43;"0 шт"
headers;"Код заказа";"Тип прибора";Исполнение;"Коррозионная защита";price;stock
SMT-FU100-8C;"FU100 с внешним вторичным прибором";"Датчики накладного исполнения";-;349517.70;"0 шт"
SMT-FU100-X8I;"FU100 с внешним вторичным прибором";"Датчики погружного исполнения";-;419421.24;"0 шт"
headers;"Код заказа";"Тип прибора";Исполнение;"Внешний диаметр трубопровода, мм";"Коррозионная защита";price;stock
SMT-FU100-X5-110;"FU100 компактный дизайн";"Расширенная версия с датчиком температуры, компактный корпус";110;-;223691.33;"0 шт"
SMT-FU100-X5-20;"FU100 компактный дизайн";"Расширенная версия с датчиком температуры, компактный корпус";20;-;111845.66;"0 шт"
SMT-FU100-X3M-110;"FU100 компактный дизайн";"Расширенная версия, компактный корпус";110;-;223691.33;"0 шт"
SMT-FU100-X3M-20;"FU100 компактный дизайн";"Расширенная версия, компактный корпус";20;-;111845.66;"0 шт"
SMT-FU100-X3-110;"FU100 компактный дизайн";"Базовое исполнение, компактный корпус";110;-;209710.62;"0 шт"
SMT-FU100-X3-20;"FU100 компактный дизайн";"Базовое исполнение, компактный корпус";20;-;97864.96;"0 шт"
SMT-FU100-X3-40;"FU100 компактный дизайн";"Базовое исполнение, компактный корпус";40;-;128156.49;"0 шт"
SMT-FU100-X3-32;"FU100 компактный дизайн";"Базовое исполнение, компактный корпус";32;-;125826.37;"0 шт"
SMT-FU100-X3-25;"FU100 компактный дизайн";"Базовое исполнение, компактный корпус";25;-;125826.37;"0 шт"
