headers;"Код заказа";"Канал питания";"Канал вакуума";"Канал выхлопа";"Индикация уровня вакуума";"Рабочее давление для максимального вакуума, МПа";"Максимальная глубина вакуума, кПа";"Максимальная скорость всасывания, л/мин";"Время вакуумирования до глубины вакуума -70 кПа, с/л";"Расход сжатого воздуха, л/мин";"Материал корпуса";"Материал уплотнений";price;stock
EBM20-C;G1/8;G3/8;"Открытый глушитель";-;0.45;84;141;1.33;107;Полимер;NBR;3782.56;"1 шт"
EBM10-B;G1/8;G3/8;"Встроенный глушитель";-;0.45;84;70;2.55;52;Полимер;NBR;2925.59;"39 шт"
EBM30-B;G1/8;G3/8;"Встроенный глушитель";-;0.6;84;215;0.9;155;Полимер;NBR;4709.43;"0 шт"
EBM20-B;G1/8;G3/8;"Встроенный глушитель";-;0.45;84;141;1.33;107;Полимер;NBR;3568.96;"0 шт"
EBM10-B-V;G1/8;G3/8;"Встроенный глушитель";-;0.45;84;70;2.55;52;Полимер;FPM;3139.19;"14 шт"
EBX-ZU07S-1;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"Встроенный глушитель";-;0.45;-85;12;-;19;Полимер;NBR;1374.77;"0 шт"
EBX-ZU07S;"Цанговый штуцер 6 мм";"Цанговый штуцер 6 мм";"Встроенный глушитель";-;0.45;-85;12;-;19;Полимер;NBR;594.83;"0 шт"
EBM05-B;G1/8;G3/8;"Встроенный глушитель";-;0.45;84;35;5.25;26;Полимер;NBR;2498.40;"0 шт"
EBM05-A;"Ниппель под шланг 6 мм";G1/8;"Встроенный глушитель";-;0.45;84;35;5.25;26;Полимер;NBR;2284.81;"0 шт"
ERL300H-P;G1/4;G3/4;G1;"Резьба G1/8";0.45;-92;300;0.95;120;Полимер;NBR;24265.59;"0 шт"
ERL300H-C;G1/4;G3/4;"Встроенный глушитель";"Встроеный вакууметр";0.45;-92;300;0.95;120;Полимер;NBR;27903.16;"0 шт"
EBM05-C;G1/8;G3/8;"Открытый глушитель";-;0.45;84;35;5.25;26;Полимер;NBR;2712;"0 шт"
ERL300H;G1/4;G3/4;"Встроенный глушитель";"Резьба G1/8";0.45;-92;300;0.95;120;Полимер;NBR;22835.16;"0 шт"
ERL100;"Цанговый штуцер 6 мм";"Цанговый штуцер 12 мм";"Встроенный глушитель";"Резьба G1/8";0.4;-85;100;2.46;57;Полимер;NBR;12845.42;"0 шт"
EGX-02H;G1/4;"2xG1/8, 4xG1/4";"Встроенный глушитель";-;0.45;-94;190;1.02;120;Полимер;NBR;14990.43;"0 шт"
