headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Положение монтажа";"Материал корпуса";"Материал стакана";price;stock
EAF3000-CF-02-CV7109571;3000;G1/4;Ручной;"Сжатый воздух";-10…+60;0…1.6;"Вертикально +/- 5°";Алюминий;Полимер;10704;"3 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEF-04MIDI;MIDI;G1/2;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";43;"С монтажной скобой";Алюминий;Поликарбонат;4115.25;"12 шт"
FEF-02MINI;MINI;G1/4;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";22;"С монтажной скобой";Алюминий;Поликарбонат;1849.85;"9 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
EAFD2000-02;2000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";"С монтажной скобой";Алюминий;Поликарбонат;4383.21;"11 шт"
headers;"Код заказа";Типоразмер;"Присоединительная резьба";"Отвод конденсата";"Рабочая среда";"Рабочая температура, °С";"Рабочее давление, МПа";"Тонкость фильтрации, мкм";"Положение монтажа";"Объём стакана фильтра, мл";"Монтажная скоба";"Материал корпуса";"Материал стакана";price;stock
FEF-10MAXI;MAXI;G1;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;40;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;7206.54;"61 шт"
EAF2000-025M;2000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";11;"С монтажной скобой";Алюминий;Поликарбонат;1335.93;"209 шт"
EAFD3000-02D;3000;G1/4;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;6218.83;"19 шт"
EAFM3000-02D;3000;G1/4;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;6057.01;"14 шт"
EAF3000-02D;3000;G1/4;Автоматический;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;2831.09;"54 шт"
EAF3000-04;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;1811.02;"38 шт"
EAF2000-02;2000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;40;"Вертикально +/- 5°";11;"Без монтажной скобы";Алюминий;Поликарбонат;1335.93;"113 шт"
EAF4000-065M;4000;G3/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;2768.96;"11 шт"
EAFM4000-04D;4000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;8260.27;"9 шт"
EAFD4000-04D;4000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;0.01;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;8260.27;"27 шт"
EAFM4000-04;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;7598.77;"36 шт"
FEF-105MMAXI;MAXI;G1;Ручной;"Сжатый воздух";-5…+60;0.1…1.6;5;"Вертикально +/- 5°";80;"С монтажной скобой";Алюминий;Поликарбонат;7206.54;"35 шт"
EAFM3000-04;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;5175.45;"19 шт"
EAFM3000-02;3000;G1/4;Ручной;"Сжатый воздух";-5…+60;0.15…1;0.3;"Вертикально +/- 5°";40;"С монтажной скобой";Алюминий;Поликарбонат;5175.45;"2 шт"
EAF3000-045M;3000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";40;"Без монтажной скобы";Алюминий;Поликарбонат;1811.02;"59 шт"
EAF4000-04D5M;4000;G1/2;Автоматический;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;3787.74;"10 шт"
EAF4000-045M;4000;G1/2;Ручной;"Сжатый воздух";-5…+60;0.15…1;5;"Вертикально +/- 5°";75;"С монтажной скобой";Алюминий;Поликарбонат;2768.96;"60 шт"
