headers;"Код заказа";"Пневматическое присоединение";"Рабочая среда";"Рабочее давление, МПа";"Рабочая температура, °С";"Материал корпуса";price;stock
V-10G;G3/8;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;71.20;"561 шт"
V-08G;G1/4;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;50.49;"188 шт"
A-20G;G3/4;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;306.80;"111 шт"
A-10G;G3/8;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;122.20;"596 шт"
A-08G;G1/4;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;71.20;"1413 шт"
A-06G;G1/8;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;41.55;"2100 шт"
A-M7;M7;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;51;"275 шт"
V-20G;G3/4;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;178.64;"211 шт"
V-15G;G1/2;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;100.97;"443 шт"
V-06G;G1/8;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;33.01;"669 шт"
V-M5;M5;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;29.77;"174 шт"
A-25G;G1;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;568.29;"84 шт"
A-M5;M5;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;33.01;"1093 шт"
A-15G;G1/2;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;157.93;"0 шт"
V-50G;G2;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;2090.63;"0 шт"
V-40G;"G1 1/2";"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;1489.98;"0 шт"
V-32G;"G1 1/4";"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;1148.23;"0 шт"
V-25G;G1;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;324.27;"0 шт"
A-50G;G2;"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;3048.57;"0 шт"
A-40G;"G1 1/2";"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;2126.88;"0 шт"
A-32G;"G1 1/4";"Сжатый воздух";"0 … 1";"-40 ... 80";Латунь;1632.38;"0 шт"
