headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
TKC-PEG12-10;"Цанговый штуцер 12 мм";"Цанговый штуцер 10 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;811.01;"100 шт"
TKC-PEG08-06;"Цанговый штуцер 8 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;486.74;"192 шт"
TKC-PEG10-06;"Цанговый штуцер 10 мм";"Цанговый штуцер 6 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;651.14;"100 шт"
TKC-PEG10-08;"Цанговый штуцер 10 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;651.14;"95 шт"
TKC-PEG12-08;"Цанговый штуцер 12 мм";"Цанговый штуцер 8 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;806.48;"146 шт"
TKC-PEG06-04;"Цанговый штуцер 6 мм";"Цанговый штуцер 4 мм";0.1…2.5;"Сжатый воздух";-30…+120;"Никелированная латунь";NBR;412.30;"99 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
TTY-GDT06G;G3/4;-;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";557.93;"144 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";Форма;price;stock
TTY-PLF03G-03P;"G3/8 внутренняя";R3/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;405.18;"268 шт"
TTY-PLF01G-01P;"G1/8 внутренняя";R1/8;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Угловой;179.94;"102 шт"
TTY-YD06-04G;"G3/4 внутренняя";"G1/2 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;482.20;"148 шт"
TTY-YD04-03G;"G1/2 внутренняя";"G3/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;216.83;"103 шт"
TTY-YD03-01G;"G3/8 внутренняя";"G1/8 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;146.93;"240 шт"
TTY-YG06-04P;R3/4;R1/2;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;353.40;"158 шт"
TTY-YL06P;R3/4;R3/4;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;353.40;"187 шт"
TTY-YJ1P-06G;R1;"G3/4 внутренняя";-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";Прямой;433.01;"100 шт"
headers;"Код заказа";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
TTY-GDT03G;G3/8;-;-0,9…4,0;"Сжатый воздух";-50…+150;"Никелированная латунь";106.80;"103 шт"
