headers;"Код заказа";"Наружный диаметр, мм";"Внутренний диаметр, мм";"Минимальный радиус изгиба, мм";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";Материал;Цвет;"Размер упаковки, м";price;stock
PA060x040-200M-C;6;4;40;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;200;12488.14;"18 шт"
PA060x040-200M-BU;6;4;40;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;200;12488.14;"26 шт"
PA080x060-100M-B;8;6;50;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;100;6244.72;"134 шт"
PA060x040-200M-B;6;4;40;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;200;9514.65;"26 шт"
PA080x060-100M-C;8;6;50;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;100;8028.55;"25 шт"
PA040x020-200M-C;4;2;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;200;8920.47;"10 шт"
PA080x060-100M-BU;8;6;50;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;100;8028.55;"38 шт"
PA160X120-100M-B;16;12;130;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;100;25275.31;"13 шт"
PA140X100-100M-B;14;10;100;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;100;22602.14;"2 шт"
PA120X090-100M-B;12;9;70;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;100;13087.50;"1 шт"
PA040x020-200M-B;4;2;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;200;6541.16;"3 шт"
PA160X120-100M-R;16;12;130;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;100;27657.21;"0 шт"
PA140X100-100M-R;14;10;100;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;100;23786.62;"0 шт"
PA120X090-100M-R;12;9;70;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;100;13974.24;"0 шт"
PA100X075-100M-R;10;7.5;60;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;100;13974.24;"0 шт"
PA080x060-100M-R;8;6;50;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;100;8028.55;"0 шт"
PA060x040-200M-R;6;4;40;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;200;12488.14;"0 шт"
PA040x025-200M-R;4;2.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;200;6541.16;"0 шт"
PA040x020-200M-R;4;2;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;200;6541.16;"0 шт"
PA030x015-100M-R;3;1.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Красный;100;4757.32;"0 шт"
PA160X120-100M-O;16;12;130;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;100;27657.21;"0 шт"
PA140X100-100M-O;14;10;100;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;100;23786.62;"0 шт"
PA120X090-100M-O;12;9;70;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;100;13974.24;"0 шт"
PA100X075-100M-O;10;7.5;60;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;100;13974.24;"0 шт"
PA080x060-100M-O;8;6;50;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;100;8028.55;"0 шт"
PA060x040-200M-O;6;4;40;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;200;12488.14;"0 шт"
PA040x025-200M-O;4;2.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;200;6541.16;"0 шт"
PA040x020-200M-O;4;2;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;200;6541.16;"0 шт"
PA030x015-100M-O;3;1.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Оранжевый;100;4757.32;"0 шт"
PA160X120-100M-C;16;12;130;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;100;27657.21;"0 шт"
PA140X100-100M-C;14;10;100;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;100;23786.62;"0 шт"
PA120X090-100M-C;12;9;70;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;100;13974.24;"0 шт"
PA100X075-100M-C;10;7.5;60;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;100;13974.24;"0 шт"
PA040x025-200M-C;4;2.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;200;6541.16;"0 шт"
PA030x015-100M-C;3;1.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Прозрачный;100;4757.32;"0 шт"
PA160X120-100M-BU;16;12;130;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;100;27657.21;"0 шт"
PA140X100-100M-BU;14;10;100;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;100;23786.62;"0 шт"
PA120X090-100M-BU;12;9;70;1.9;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;100;13974.24;"0 шт"
PA100X075-100M-BU;10;7.5;60;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;100;13974.24;"0 шт"
PA040x025-200M-BU;4;2.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;200;6541.16;"0 шт"
PA040x020-200M-BU;4;2;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;200;6541.16;"0 шт"
PA030x015-100M-BU;3;1.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Голубой;100;4757.32;"0 шт"
PA100X075-100M-B;10;7.5;60;1.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;100;12785.88;"0 шт"
PA040x025-200M-B;4;2.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;200;5946.98;"0 шт"
PA030x015-100M-B;3;1.5;30;4.5;"Сжатый воздух";"-30 … +100";"Полиамид PA11";Чёрный;100;4163.14;"0 шт"
