headers;"Код заказа";"Тип пневмоострова";"Тип подключения";"Электрическое подключение 1";"Электрическое подключение 2";"Рабочее напряжение";"Длина кабеля";"Класс защиты";"Температура окружающей среды, °С";"Материал оплетки кабеля";price;stock
D25-25-10M-A;SV;Многополюсное;"Прямой разъём SUB-D, 25-контактный";"Открытый конец";"24 В пост. тока";10;IP40;-5…+70;PVC;10089.41;"14 шт"
D25-25-1M-A;SV;Многополюсное;"Прямой разъём SUB-D, 25-контактный";"Открытый конец";"24 В пост. тока";1;IP40;-5…+70;PVC;1856.33;"58 шт"
D25-08S-5M-A;SV;Многополюсное;"Прямой разъём SUB-D, 8-контактный";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;2546.30;"7 шт"
M125RL-PVC-5M;ESV;Питание;"Угловой разъем, М12х1, 4-контактный, A-код";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;2119.11;"170 шт"
D25-15D-2M-A;SV;Многополюсное;"Прямой разъём SUB-D, 15-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;2150.18;"10 шт"
D25-25-3M-A;SV;Многополюсное;"Прямой разъём SUB-D, 25-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;3684.18;"32 шт"
D25-15D-5M-A;SV;Многополюсное;"Прямой разъём SUB-D, 15-контактный";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;4154.08;"45 шт"
D25-25-2M-A;SV;Многополюсное;"Прямой разъём SUB-D, 25-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;2771.55;"259 шт"
D25-08S-3M-A;SV;Многополюсное;"Прямой разъём SUB-D, 8-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;1838.20;"17 шт"
ESV-EN-M12RJ-2M;ESV;"PROFINET, EtherCAT, Ethernet/IP";"Прямой разъем, М12х1, 4-контактный, D-код";"Прямой разъем, RJ45, 4-контактный";"24 В пост. тока";2;IP40;-5…+70;PVC;3097.76;"127 шт"
M125R-PVC-2M;ESV;Питание;"Прямой разъем, М12х1, 4-контактный, A-код";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;1447.26;"143 шт"
M125R-PVC-10M;ESV;Питание;"Прямой разъем, М12х1, 4-контактный, A-код";"Открытый конец";"24 В пост. тока";10;IP40;-5…+70;PVC;3060.22;"34 шт"
ESV-EN-M12RJ-5M;ESV;"PROFINET, EtherCAT, Ethernet/IP";"Прямой разъем, М12х1, 4-контактный, D-код";"Прямой разъем, RJ45, 4-контактный";"24 В пост. тока";5;IP40;-5…+70;PVC;4521.72;"430 шт"
M12M125R-PVC-5M;ESV;IO-Link;"Прямой разъем, М12х1, 4-контактный, A-код";"Прямой разъем, М12х1, 4-контактный, A-код";"24 В пост. тока";5;IP40;-5…+70;PVC;2961.84;"10 шт"
D15-15-5M-A;SR;Многополюсное;"Прямой разъём SUB-D, 15-контактный";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;4502.31;"10 шт"
D25-08S-2M-A;SV;Многополюсное;"Прямой разъём SUB-D, 8-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;1487.39;"19 шт"
D15-08-2M-A;SR;Многополюсное;"Прямой разъём SUB-D, 8-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;1609.08;"1 шт"
M125RL-PVC-10M;ESV;Питание;"Угловой разъем, М12х1, 4-контактный, A-код";"Открытый конец";"24 В пост. тока";10;IP40;-5…+70;PVC;3197.44;"39 шт"
ESV-EN-M12M12-5M;ESV;"PROFINET, EtherCAT, Ethernet/IP";"Прямой разъем, М12х1, 4-контактный, D-код";"Прямой разъем, М12х1, 4-контактный, D-код";"24 В пост. тока";5;IP40;-5…+70;PVC;5675.13;"126 шт"
ESV-EN-M12M12-10M;ESV;"PROFINET, EtherCAT, Ethernet/IP";"Прямой разъем, М12х1, 4-контактный, D-код";"Прямой разъем, М12х1, 4-контактный, D-код";"24 В пост. тока";10;IP40;-5…+70;PVC;8260.27;"303 шт"
D15-15-2M-A;SR;Многополюсное;"Прямой разъём SUB-D, 15-контактный";"Открытый конец";"24 В пост. тока";2;IP40;-5…+70;PVC;2328.82;"9 шт"
ESV-EN-M12M12-2M;ESV;"PROFINET, EtherCAT, Ethernet/IP";"Прямой разъем, М12х1, 4-контактный, D-код";"Прямой разъем, М12х1, 4-контактный, D-код";"24 В пост. тока";2;IP40;-5…+70;PVC;4190.33;"187 шт"
M125R-PVC-5M;ESV;Питание;"Прямой разъем, М12х1, 4-контактный, A-код";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;2024.61;"279 шт"
D25-25-5M-A;SV;Многополюсное;"Прямой разъём SUB-D, 25-контактный";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;5510.73;"0 шт"
ESV-EN-M12RJ-10M;ESV;"PROFINET, EtherCAT, Ethernet/IP";"Прямой разъем, М12х1, 4-контактный, D-код";"Прямой разъем, RJ45, 4-контактный";"24 В пост. тока";10;IP40;-5…+70;PVC;7108.15;"0 шт"
D25-15S-5M-A;SV;Многополюсное;"Прямой разъём SUB-D, 15-контактный";"Открытый конец";"24 В пост. тока";5;IP40;-5…+70;PVC;4154.08;"0 шт"
