headers;"Код заказа";"Для серии";"Рабочее напряжение";price;stock
DC-B;RV;"12…220 В перем. тока/DC";124.79;"136 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";Мощность;price;stock
XHD-V2-E7;RV;"24 В перем. тока";"4 Вт";345.63;"35 шт"
XHD-V2-E5;RV;"12 В пост. тока";"3 Вт";345.63;"590 шт"
XHD-V2-E4;RV;"24 В пост. тока";"3 Вт";345.63;"95 шт"
XHD-V2-E2;RV;"220 В перем. тока";"4 Вт";345.63;"414 шт"
XHD-V2-E1;RV;"110 В перем. тока";"4 Вт";345.63;"188 шт"
XHD-ELP-E2;ELP;"220 В перем. тока";"15 ВА";915.87;"29 шт"
XHD-ELP-E4;ELP;"24 В пост. тока";"10 Вт";915.87;"28 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";price;stock
DB-D1L;RV;"12…48 В пост. тока";160.52;"14 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";Мощность;price;stock
XHD-V1-E4;RV;"24 В пост. тока";"2.8 Вт";360.52;"40 шт"
XHD-V1-E2;RV;"220 В перем. тока";"3 Вт";360.52;"30 шт"
XHD-V1-E1;RV;"110 В перем. тока";"3 Вт";360.52;"51 шт"
XHD-V2-E8;RV;"110 В пост. тока";"3 Вт";345.63;"18 шт"
XHC-V2-E4;RV;"24 В пост. тока";"3 Вт";396.12;"5 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";price;stock
DB-AJL;RV;"12…220 В перем. тока";160.52;"10 шт"
DC-DL;RV;"12…48 В пост. тока";124.79;"10 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";Мощность;price;stock
XD-SLG5404-E1;SLG;"110 В перем. тока";"5.5 ВА";1655.68;"8 шт"
XHD-ELPH-E7;ELPH;"24 В перем. тока";"12 ВА";915.87;"0 шт"
XHD-ELPH-E5;ELPH;"12 В пост. тока";"10 Вт";915.87;"0 шт"
XHD-ELPH-E4;ELPH;"24 В пост. тока";"10 Вт";915.87;"0 шт"
XHD-ELPH-E2;ELPH;"220 В перем. тока";"12 ВА";915.87;"0 шт"
XHD-ELPH-E1;ELPH;"110 В перем. тока";"12 ВА";915.87;"0 шт"
XHC-ELPH-E7;ELPH;"24 В перем. тока";"12 ВА";710.69;"0 шт"
XHC-ELPH-E5;ELPH;"12 В пост. тока";"10 Вт";710.69;"0 шт"
XHC-ELPH-E4;ELPH;"24 В пост. тока";"10 Вт";710.69;"0 шт"
XHC-ELPH-E2;ELPH;"220 В перем. тока";"12 ВА";710.69;"0 шт"
XHC-ELPH-E1;ELPH;"110 В перем. тока";"12 ВА";710.69;"0 шт"
XHD-ELP-E7;ELP;"24 В перем. тока";"15 ВА";915.87;"0 шт"
XHD-ELP-E5;ELP;"12 В пост. тока";"10 Вт";915.87;"0 шт"
XHD-ELP-E1;ELP;"110 В перем. тока";"15 ВА";915.87;"0 шт"
XHC-ELP-E7;ELP;"24 В перем. тока";"15 ВА";710.69;"0 шт"
XHC-ELP-E5;ELP;"12 В пост. тока";"10 Вт";710.69;"0 шт"
XHC-ELP-E4;ELP;"24 В пост. тока";"10 Вт";710.69;"0 шт"
XHC-ELP-E2;ELP;"220 В перем. тока";"15 ВА";710.69;"0 шт"
XHC-ELP-E1;ELP;"110 В перем. тока";"15 ВА";710.69;"0 шт"
XHD-V1-E10;RV;"36 В пост. тока";"2.8 Вт";360.52;"0 шт"
XHD-V1-E9;RV;"48 В пост. тока";"2.8 Вт";360.52;"0 шт"
XHD-V1-E8;RV;"110 В пост. тока";"2.8 Вт";360.52;"0 шт"
XHD-V1-E7;RV;"24 В перем. тока";"3 Вт";360.52;"0 шт"
XHD-V1-E6;RV;"36 В перем. тока";"3 Вт";360.52;"0 шт"
XHD-V1-E5;RV;"12 В пост. тока";"2.8 Вт";360.52;"0 шт"
XHD-V2-E10;RV;"36 В пост. тока";"3 Вт";345.63;"0 шт"
XHD-V2-E9;RV;"48 В пост. тока";"3 Вт";345.63;"0 шт"
XHD-V2-E6;RV;"36 В перем. тока";"4 Вт";345.63;"0 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";price;stock
DB-D1JELR;RV;"12…48 В пост. тока";160.52;"0 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";Мощность;price;stock
XHD-V2-E4J;RV;"24 В пост. тока";"3 Вт";383.82;"0 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";price;stock
DB-D1;RV;"12…48 В пост. тока";161.17;"0 шт"
DC-D1;RV;"12…48 В пост. тока";120.78;"0 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";Мощность;price;stock
XHC-V1-E4;RV;"24 В пост. тока";"2.8 Вт";396.12;"0 шт"
XD-SLG5404-E2;SLG;"220 В перем. тока";"5.5 ВА";1655.68;"0 шт"
XHC-V2-E4;RV;"24 В пост. тока";"3 Вт";;"0 шт"
XD-SLG5404-E7;SLG;"24 В перем. тока";"5.5 ВА";1655.68;"0 шт"
XD-SLG5404-E5;SLG;"12 В пост. тока";"9 Вт";1655.68;"0 шт"
XD-SLG5404-E4;SLG;"24 В пост. тока";"9 Вт";1655.68;"0 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";price;stock
DB-DL;RV;"12…48 В пост. тока";161.17;"0 шт"
headers;"Код заказа";"Для серии";"Рабочее напряжение";Мощность;price;stock
XD-ZS1-E2;ZS;"220 В перем. тока";"22 ВА";2402.61;"0 шт"
XD-ZS1-E4;ZS;"24 В пост. тока";"13 Вт";2402.61;"0 шт"
XHD-V1-E2J;RV;"220 В перем. тока";"3 Вт";401.95;"0 шт"
XHD-V2-E2J;RV;"220 В перем. тока";"4 Вт";383.82;"0 шт"
