headers;"Код заказа";"Функция распределителя";"Материал уплотнений";"Серия распределителей";Типоразмер;"Количество позиций";"Материал плиты";price;stock
VBP524;"5-ти линейные";NBR;RV;4;нет;Алюминий;133.98;"90 шт"
VBP521;"5-ти линейные";NBR;RV;1;нет;Алюминий;118.97;"22 шт"
V322-12F;"3-х линейные";NBR;RV;2;12;Алюминий;3345.01;"9 шт"
V322-8F;"3-х линейные";NBR;RV;2;8;Алюминий;2275.75;"39 шт"
V322-4F;"3-х линейные";NBR;RV;2;4;Алюминий;1204.54;"22 шт"
V322-3F;"3-х линейные";NBR;RV;2;3;Алюминий;936.58;"17 шт"
V322-2F;"3-х линейные";NBR;RV;2;2;Алюминий;669.26;"29 шт"
V321-12F;"3-х линейные";NBR;RV;1;12;Алюминий;3345.01;"15 шт"
V321-6F;"3-х линейные";NBR;RV;1;6;Алюминий;1739.82;"8 шт"
V321-3F;"3-х линейные";NBR;RV;1;3;Алюминий;936.58;"10 шт"
V524-3F;"5-ти линейные";NBR;RV;4;3;Алюминий;2673.16;"8 шт"
V522-16F;"5-ти линейные";NBR;RV;2;16;Алюминий;4071.23;"8 шт"
V522-12F;"5-ти линейные";NBR;RV;2;12;Алюминий;3083.52;"22 шт"
V522-10F;"5-ти линейные";NBR;RV;2;10;Алюминий;2590.31;"9 шт"
V522-6F;"5-ти линейные";NBR;RV;2;6;Алюминий;1602.60;"31 шт"
V522-5F;"5-ти линейные";NBR;RV;2;5;Алюминий;1356.65;"27 шт"
V522-4F;"5-ти линейные";NBR;RV;2;4;Алюминий;1109.40;"21 шт"
V522-2F;"5-ти линейные";NBR;RV;2;2;Алюминий;615.54;"26 шт"
V521-16F;"5-ти линейные";NBR;RV;1;16;Алюминий;4415.57;"27 шт"
V521-12F;"5-ти линейные";NBR;RV;1;12;Алюминий;3345.01;"20 шт"
V521-10F;"5-ти линейные";NBR;RV;1;10;Алюминий;2810.38;"10 шт"
V521-8F;"5-ти линейные";NBR;RV;1;8;Алюминий;2275.75;"7 шт"
V521-4F;"5-ти линейные";NBR;RV;1;4;Алюминий;1204.54;"48 шт"
V522-3F;"5-ти линейные";NBR;RV;2;3;Алюминий;862.79;"77 шт"
V523-4F;"5-ти линейные";NBR;RV;3;4;Алюминий;1725.58;"35 шт"
V523-3F;"5-ти линейные";NBR;RV;3;3;Алюминий;1341.11;"41 шт"
V523-2F;"5-ти линейные";NBR;RV;3;2;Алюминий;957.29;"37 шт"
V522-9F;"5-ти линейные";NBR;RV;2;9;Алюминий;2343.06;"5 шт"
V522-8F;"5-ти линейные";NBR;RV;2;8;Алюминий;2097.11;"24 шт"
V522-7F;"5-ти линейные";NBR;RV;2;7;Алюминий;1849.85;"8 шт"
V521-6F;"5-ти линейные";NBR;RV;1;6;Алюминий;1739.82;"6 шт"
V521-5F;"5-ти линейные";NBR;RV;1;5;Алюминий;1471.86;"11 шт"
V521-3F;"5-ти линейные";NBR;RV;1;3;Алюминий;936.58;"1 шт"
V521-2F;"5-ти линейные";NBR;RV;1;2;Алюминий;669.26;"20 шт"
V521-1F;"5-ти линейные";NBR;RV;1;1;Алюминий;401.95;"11 шт"
VBP324;"3-х линейные";NBR;RV;4;нет;Алюминий;133.98;"10 шт"
VBP323;"3-х линейные";NBR;RV;3;нет;Алюминий;118.97;"28 шт"
